id_venta,fecha,id_cliente,id_producto,cantidad,metodo_pago,estado,id_empleado,total_ventas
1,31/01/2024,10,25,5,1,Completa,102,"$199.500,00"
2,31/01/2024,106,5,1,4,Completa,123,"$8.990,00"
3,31/1/2024,235,25,3,3,Completa,105,"$176.700,00"
4,31/1/2024,114,15,5,1,Completa,117,"$199.500,00"
5,31/1/2024,132,2,5,4,Completa,130,"$199.500,00"
6,31/1/2024,282,3,3,1,Completa,102,"$176.700,00"
7,31/1/2024,201,31,6,3,Completa,125,"$109.800,00"
8,01/02/2024,5,19,3,4,Pendiente,110,"$176.700,00"
9,01/02/2024,114,29,6,4,Completa,132,"$109.800,00"
10,1/2/2024,282,28,1,4,Completa,107,"$8.990,00"
11,1/2/2024,130,18,2,2,Completa,120,"$43.000,00"
12,1/2/2024,97,6,6,2,Completa,114,"$109.800,00"
13,1/2/2024,247,7,4,4,Completa,128,"$102.800,00"
14,1/2/2024,98,16,1,1,Pendiente,103,"$8.990,00"
15,1/2/2024,27,18,4,4,Completa,121,"$102.800,00"
16,02/02/2024,294,31,1,4,Completa,116,"$8.990,00"
17,02/02/2024,60,3,6,4,Completa,131,"$109.800,00"
18,02/02/2024,203,2,3,4,Completa,101,"$176.700,00"
19,02/02/2024,45,8,4,3,Completa,127,"$102.800,00"
20,02/02/2024,1,32,4,5,Completa,109,"$102.800,00"
21,2/2/2024,218,6,5,5,Completa,124,"$199.500,00"
22,2/2/2024,129,31,6,1,Completa,113,"$109.800,00"
23,2/2/2024,217,4,1,4,Completa,126,"$8.990,00"
24,03/02/2024,156,33,3,4,Pendiente,104,"$176.700,00"
25,03/02/2024,245,12,3,5,Completa,118,"$176.700,00"
26,3/2/2024,251,10,5,5,Pendiente,115,"$199.500,00"
27,3/2/2024,204,6,4,5,Completa,129,"$102.800,00"
28,3/2/2024,32,7,5,4,Completa,108,"$199.500,00"
29,3/2/2024,275,23,1,2,Completa,122,"$8.990,00"
30,04/02/2024,259,32,1,2,Pendiente,111,"$8.990,00"
31,04/02/2024,66,19,3,4,Completa,119,"$176.700,00"
32,04/02/2024,112,37,2,5,Completa,106,"$43.000,00"
33,4/2/2024,48,27,1,5,Completa,112,"$8.990,00"
34,4/2/2024,125,35,3,4,Completa,103,"$176.700,00"
35,4/2/2024,48,24,2,3,Pendiente,123,"$43.000,00"
36,4/2/2024,106,21,1,2,Completa,105,"$8.990,00"
37,04/02/2024,112,37,2,5,Completa,117,"$43.000,00"
38,05/02/2024,159,4,6,4,Completa,130,"$109.800,00"
39,05/02/2024,169,5,6,3,Completa,102,"$109.800,00"
40,05/02/2024,169,5,5,1,Completa,125,"$199.500,00"
41,5/2/2024,102,13,2,1,Completa,110,"$43.000,00"
42,5/2/2024,172,29,6,2,Completa,132,"$109.800,00"
43,5/2/2024,255,23,5,5,Pendiente,107,"$199.500,00"
44,5/2/2024,230,13,2,2,Completa,120,"$43.000,00"
45,06/02/2024,168,35,1,2,Completa,114,"$8.990,00"
46,06/02/2024,258,11,4,5,Completa,128,"$102.800,00"
47,06/02/2024,159,19,6,5,Pendiente,103,"$109.800,00"
48,6/2/2024,283,1,3,4,Completa,121,"$176.700,00"
49,6/2/2024,130,8,6,5,Completa,116,"$109.800,00"
50,6/2/2024,181,3,3,4,Pendiente,131,"$176.700,00"
51,6/2/2024,75,28,6,1,Pendiente,101,"$109.800,00"
52,6/2/2024,155,18,2,4,Completa,127,"$43.000,00"
53,07/02/2024,71,35,4,3,Completa,109,"$102.800,00"
54,07/02/2024,64,31,2,4,Pendiente,124,"$43.000,00"
55,07/02/2024,21,7,6,3,Completa,113,"$109.800,00"
56,07/02/2024,108,12,6,5,Pendiente,126,"$109.800,00"
57,7/2/2024,187,23,3,3,Completa,104,"$176.700,00"
58,7/2/2024,35,17,2,4,Pendiente,118,"$43.000,00"
59,7/2/2024,180,6,3,3,Completa,115,"$176.700,00"
60,7/2/2024,151,3,2,1,Completa,129,"$43.000,00"
61,7/2/2024,164,25,3,4,Completa,108,"$176.700,00"
62,08/02/2024,212,36,5,2,Completa,122,"$199.500,00"
63,8/2/2024,318,27,2,5,Completa,111,"$43.000,00"
64,8/2/2024,56,38,2,5,Completa,119,"$43.000,00"
65,8/2/2024,295,34,4,2,Completa,106,"$102.800,00"
66,09/02/2024,3,11,4,1,Completa,112,"$102.800,00"
67,9/2/2024,69,29,1,5,Completa,102,"$8.990,00"
68,9/2/2024,104,17,2,3,Completa,123,"$43.000,00"
69,9/2/2024,293,25,6,4,Completa,105,"$109.800,00"
70,9/2/2024,214,17,3,4,Completa,117,"$176.700,00"
71,9/2/2024,278,22,1,1,Completa,130,"$8.990,00"
72,9/2/2024,78,1,6,4,Completa,102,"$109.800,00"
73,9/2/2024,28,6,5,4,Pendiente,125,"$199.500,00"
74,10/02/2024,288,10,3,2,Pendiente,110,"$176.700,00"
75,10/2/2024,59,29,4,3,Completa,132,"$102.800,00"
76,10/2/2024,144,22,2,4,Completa,107,"$43.000,00"
77,10/2/2024,314,28,3,3,Pendiente,120,"$176.700,00"
78,10/2/2024,230,24,6,3,Completa,114,"$109.800,00"
79,10/2/2024,57,16,1,4,Completa,128,"$8.990,00"
80,11/02/2024,166,3,3,3,Completa,103,"$176.700,00"
81,11/02/2024,224,13,5,5,Completa,121,"$199.500,00"
82,11/2/2024,34,29,1,2,Completa,116,"$8.990,00"
83,11/2/2024,120,19,2,5,Pendiente,131,"$43.000,00"
84,11/2/2024,85,13,6,4,Completa,101,"$109.800,00"
85,11/2/2024,241,28,3,3,Completa,127,"$176.700,00"
86,11/2/2024,212,27,3,5,Completa,109,"$176.700,00"
87,11/2/2024,69,27,1,2,Completa,124,"$8.990,00"
88,11/2/2024,250,11,1,5,Completa,113,"$8.990,00"
89,11/2/2024,54,37,5,4,Completa,126,"$199.500,00"
90,11/2/2024,255,29,3,1,Pendiente,104,"$176.700,00"
91,11/2/2024,87,19,4,5,Completa,118,"$102.800,00"
92,11/2/2024,307,37,4,5,Completa,115,"$102.800,00"
93,12/02/2024,205,38,2,3,Completa,129,"$43.000,00"
94,12/02/2024,182,21,4,1,Completa,108,"$102.800,00"
95,12/02/2024,47,14,2,5,Completa,122,"$43.000,00"
96,12/2/2024,286,4,4,5,Completa,111,"$102.800,00"
97,12/2/2024,273,14,6,3,Completa,119,"$109.800,00"
98,12/2/2024,288,14,2,4,Completa,106,"$43.000,00"
99,12/2/2024,295,18,4,5,Completa,112,"$102.800,00"
100,13/02/2024,214,38,4,4,Completa,109,"$102.800,00"
101,13/02/2024,171,22,4,3,Completa,123,"$102.800,00"
102,13/02/2024,128,24,4,3,Completa,105,"$102.800,00"
103,13/02/2024,14,29,3,3,Completa,117,"$176.700,00"
104,13/02/2024,43,1,3,5,Pendiente,130,"$176.700,00"
105,13/02/2024,141,11,4,4,Pendiente,102,"$102.800,00"
106,13/2/2024,300,20,1,1,Completa,125,"$8.990,00"
107,13/2/2024,150,35,2,5,Completa,110,"$43.000,00"
108,13/2/2024,130,33,3,5,Completa,132,"$176.700,00"
109,13/2/2024,258,26,4,1,Completa,107,"$102.800,00"
110,13/2/2024,73,29,4,5,Completa,120,"$102.800,00"
111,13/2/2024,304,12,2,1,Pendiente,114,"$43.000,00"
112,13/02/2024,14,29,3,3,Completa,128,"$176.700,00"
113,14/2/2024,190,27,5,3,Completa,103,"$199.500,00"
114,14/2/2024,118,4,6,5,Completa,121,"$109.800,00"
115,14/2/2024,5,1,1,4,Completa,116,"$8.990,00"
116,14/2/2024,87,15,6,1,Pendiente,131,"$109.800,00"
117,14/2/2024,273,21,5,5,Completa,101,"$199.500,00"
118,14/2/2024,105,17,5,3,Completa,127,"$199.500,00"
119,15/02/2024,325,35,5,2,Completa,109,"$199.500,00"
120,15/02/2024,85,24,3,2,Completa,124,"$176.700,00"
121,15/02/2024,312,24,6,5,Completa,113,"$109.800,00"
122,15/02/2024,76,13,3,1,Completa,126,"$176.700,00"
123,15/02/2024,204,1,1,4,Completa,104,"$8.990,00"
124,15/2/2024,158,33,4,4,Completa,118,"$102.800,00"
125,15/2/2024,310,35,1,1,Completa,115,"$8.990,00"
126,15/2/2024,187,7,5,5,Completa,129,"$199.500,00"
127,15/2/2024,231,12,3,4,Completa,108,"$176.700,00"
128,15/2/2024,166,4,2,5,Pendiente,122,"$43.000,00"
129,15/2/2024,319,23,1,5,Completa,111,"$8.990,00"
130,15/02/2024,76,13,3,1,Completa,119,"$176.700,00"
131,16/02/2024,109,19,3,3,Completa,106,"$176.700,00"
132,16/02/2024,184,17,5,5,Completa,112,"$199.500,00"
133,16/02/2024,183,20,2,1,Completa,109,"$43.000,00"
134,16/02/2024,252,14,2,3,Completa,123,"$43.000,00"
135,16/2/2024,286,14,1,1,Completa,105,"$8.990,00"
136,16/2/2024,50,13,1,2,Completa,117,"$8.990,00"
137,16/2/2024,48,38,5,3,Completa,130,"$199.500,00"
138,16/2/2024,211,33,1,1,Completa,102,"$8.990,00"
139,16/2/2024,98,25,3,3,Completa,125,"$176.700,00"
140,16/2/2024,109,36,6,1,Completa,110,"$109.800,00"
141,16/2/2024,39,7,2,3,Completa,132,"$43.000,00"
142,16/2/2024,124,3,3,2,Completa,107,"$176.700,00"
143,17/02/2024,203,20,2,5,Completa,120,"$43.000,00"
144,17/02/2024,302,3,4,5,Pendiente,114,"$102.800,00"
